Ticker,Date/Time,Open,High,Low,Close,Volume,prevclose,rsi,ema5,ema10,hma5,hma7,hma9,adx,pdi,mdi,atr
NIFTY,4/10/1990,439.55,439.55,439.55,439.55,0,439.72,67.99,436.81,428.7,438.55,441.64,447.12,45.93,68.34,31.94,8.72
NIFTY,9/10/1990,480.38,480.38,480.38,480.38,0,439.55,76.74,451.33,438.1,466.28,460.19,456.02,46.48,76.94,23.27,11.93
NIFTY,11/10/1990,449.25,449.25,449.25,449.25,0,480.38,62.67,450.64,440.13,470.5,466.73,461.14,44.99,62.91,37.26,13.85
NIFTY,12/10/1990,429.29,429.29,429.29,429.29,0,449.25,55.63,443.52,438.16,438.59,449.86,455.86,42.6,55.87,44.28,14.46
NIFTY,15/10/1990,398.92,398.92,398.92,398.92,0,429.29,46.98,428.65,431.02,399.95,414.25,434.28,39.96,47.22,52.91,16.05
NIFTY,18/10/1990,405.72,405.72,405.72,405.72,0,398.92,48.9,421.01,426.42,387.48,392.37,410.93,37.24,49.12,51,15.13
NIFTY,22/10/1990,383.75,383.75,383.75,383.75,0,405.72,43.43,408.59,418.66,381.88,378.56,389.4,35.5,43.65,56.46,15.81
NIFTY,25/10/1990,404.15,404.15,404.15,404.15,0,383.75,49.12,407.11,416.02,389.49,382.72,382.1,33.07,49.3,50.8,16.27
NIFTY,26/10/1990,397.04,397.04,397.04,397.04,0,404.15,47.33,403.75,412.57,399.07,390.82,382.95,31.07,47.51,52.58,15.36
NIFTY,31/10/1990,403.66,403.66,403.66,403.66,0,397.04,49.18,403.72,410.95,402.71,399.39,389.48,28.95,49.35,50.74,14.48
NIFTY,1/11/1990,412.9,412.9,412.9,412.9,0,403.66,51.73,406.78,411.31,411.47,408.7,399.74,27.14,51.88,48.2,13.96
NIFTY,5/11/1990,416.08,416.08,416.08,416.08,0,412.9,52.62,409.88,412.17,418.91,416.81,409.57,25.59,52.76,47.32,12.88
NIFTY,7/11/1990,428.21,428.21,428.21,428.21,0,416.08,55.92,415.99,415.09,428.06,426.8,420.53,24.62,56.05,44.03,12.8
NIFTY,8/11/1990,435.18,435.18,435.18,435.18,0,428.21,57.75,422.39,418.74,438.11,436.48,430.93,23.98,57.86,42.21,12.22
NIFTY,9/11/1990,430.25,430.25,430.25,430.25,0,435.18,55.98,425.01,420.83,437.55,439.24,437.11,23.13,56.1,43.97,11.49
NIFTY,12/11/1990,403.06,403.06,403.06,403.06,0,430.25,47.38,417.69,417.6,414.09,422.79,430.5,21.84,47.5,52.56,13.06
NIFTY,14/11/1990,405.7,405.7,405.7,405.7,0,403.06,48.21,413.69,415.44,397.3,405.33,418.38,20.53,48.32,51.74,12.02
NIFTY,16/11/1990,408.34,408.34,408.34,408.34,0,405.7,49.08,411.91,414.15,400.52,399.31,407.65,19.18,49.19,50.87,11.08
NIFTY,21/11/1990,391.83,391.83,391.83,391.83,0,408.34,44.1,405.22,410.09,395.61,393.76,397.59,18.64,44.21,55.84,11.62
NIFTY,22/11/1990,383.69,383.69,383.69,383.69,0,391.83,41.85,398.04,405.29,382.39,384.31,388.39,18.46,41.96,58.09,11.28
NIFTY,23/11/1990,399.67,399.67,399.67,399.67,0,383.69,47.52,398.58,404.27,388.12,385.61,385.72,17.49,47.61,52.44,11.75
NIFTY,26/11/1990,405,405,405,405,0,399.67,49.29,400.72,404.4,403.54,396.56,389.77,16.33,49.37,50.67,11.1
NIFTY,27/11/1990,393.78,393.78,393.78,393.78,0,405,45.78,398.41,402.47,401.93,400.25,394.01,15.76,45.86,54.18,11.12
NIFTY,29/11/1990,373.33,373.33,373.33,373.33,0,393.78,40.17,390.05,397.17,380.17,386.68,389.94,16.03,40.25,59.79,12.05
NIFTY,30/11/1990,367.69,367.69,367.69,367.69,0,373.33,38.76,382.6,391.81,362.07,369.02,378.96,16.48,38.83,61.2,11.41
NIFTY,3/12/1990,371.14,371.14,371.14,371.14,0,367.69,40.14,378.78,388.05,361.9,361.55,368.7,16.7,40.22,59.82,10.61
NIFTY,4/12/1990,359.86,359.86,359.86,359.86,0,371.14,37.18,372.47,382.93,360.51,357.5,360.18,17.33,37.25,62.78,10.68
NIFTY,5/12/1990,359.21,359.21,359.21,359.21,0,359.86,37.01,368.05,378.61,356.26,355,355.35,17.94,37.08,62.95,9.68
NIFTY,6/12/1990,363.06,363.06,363.06,363.06,0,359.21,38.79,366.39,375.79,358.85,356.4,354.37,18.25,38.86,61.17,9.09
NIFTY,10/12/1990,371.86,371.86,371.86,371.86,0,363.06,42.77,368.21,375.07,368.6,364.42,358.61,17.98,42.83,57.2,9.06
NIFTY,11/12/1990,368.22,368.22,368.22,368.22,0,371.86,41.57,368.21,373.83,372.48,370.03,364.04,17.89,41.63,58.4,8.52
NIFTY,12/12/1990,372.37,372.37,372.37,372.37,0,368.22,43.52,369.6,373.56,372.78,373.08,369.44,17.53,43.57,56.45,8.08
NIFTY,13/12/1990,378.88,378.88,378.88,378.88,0,372.37,46.54,372.69,374.53,377.91,377.41,374.75,16.77,46.59,53.44,7.93
NIFTY,14/12/1990,382.16,382.16,382.16,382.16,0,378.88,48.04,375.85,375.92,383.7,382.65,379.79,15.85,48.09,51.94,7.46
NIFTY,17/12/1990,367.42,367.42,367.42,367.42,0,382.16,42.28,373.04,374.37,375.32,378.08,379.32,15.81,42.32,57.7,8.19
NIFTY,18/12/1990,347.93,347.93,347.93,347.93,0,367.42,36.11,364.67,369.56,352.19,360.1,369.32,16.66,36.15,63.87,9.32
NIFTY,19/12/1990,333.33,333.33,333.33,333.33,0,347.93,32.31,354.22,362.98,329.58,337.11,351.63,17.99,32.35,67.67,9.85
NIFTY,21/12/1990,326.93,326.93,326.93,326.93,0,333.33,30.78,345.13,356.42,318.41,320.47,332.97,19.45,30.82,69.2,9.5
NIFTY,24/12/1990,330.86,330.86,330.86,330.86,0,326.93,32.88,340.37,351.77,321.46,317.17,321.48,20.5,32.92,67.1,8.95
NIFTY,2/1/1991,318.95,318.95,318.95,318.95,0,330.86,29.91,333.23,345.81,320.21,315.71,314.6,21.9,29.95,70.07,9.24
NIFTY,3/1/1991,314.01,314.01,314.01,314.01,0,318.95,28.76,326.82,340.03,312.49,311.97,310.45,23.37,28.79,71.22,8.81
NIFTY,7/1/1991,318.12,318.12,318.12,318.12,0,314.01,31.14,323.92,336.04,312.55,311.18,309.26,24.39,31.18,68.84,8.34
NIFTY,9/1/1991,321.49,321.49,321.49,321.49,0,318.12,33.12,323.11,333.4,318.91,315.39,311.26,25.05,33.15,66.86,7.84
NIFTY,11/1/1991,326.37,326.37,326.37,326.37,0,321.49,35.99,324.2,332.12,325.92,322.52,316.64,25.26,36.02,63.99,7.55
NIFTY,14/1/1991,323.42,323.42,323.42,323.42,0,326.37,35.02,323.94,330.54,326.95,325.89,321.49,25.6,35.04,64.97,7.09
NIFTY,23/1/1991,319.49,319.49,319.49,319.49,0,323.42,33.7,322.46,328.53,321.78,323.83,323.13,26.09,33.73,66.28,6.77
NIFTY,24/1/1991,312.07,312.07,312.07,312.07,0,319.49,31.31,318.99,325.54,313.33,316.62,319.97,26.89,31.34,68.67,6.84
NIFTY,25/1/1991,306.22,306.22,306.22,306.22,0,312.07,29.53,314.74,322.02,304.92,307.74,313.36,27.89,29.56,70.45,6.74
NIFTY,31/1/1991,314.36,314.36,314.36,314.36,0,306.22,35.06,314.61,320.63,307.61,306.6,309.43,28.03,35.08,64.93,6.88
NIFTY,1/2/1991,324.29,324.29,324.29,324.29,0,314.36,41.13,317.84,321.3,320.68,315.34,311.81,27.3,41.14,58.87,7.18
NIFTY,4/2/1991,334.83,334.83,334.83,334.83,0,324.29,46.8,323.5,323.76,335.32,329.7,320.93,25.8,46.82,53.19,7.52
NIFTY,5/2/1991,339.98,339.98,339.98,339.98,0,334.83,49.37,328.99,326.71,344.5,341.79,332.65,24.05,49.39,50.62,7.28
NIFTY,6/2/1991,338.21,338.21,338.21,338.21,0,339.98,48.51,332.07,328.8,344.27,345.91,341.23,22.54,48.52,51.49,6.73
NIFTY,7/2/1991,330.4,330.4,330.4,330.4,0,338.21,44.77,331.51,329.09,335.3,340.38,342.57,21.68,44.78,55.22,6.84
NIFTY,8/2/1991,329.5,329.5,329.5,329.5,0,330.4,44.35,330.84,329.16,328.05,332.55,338.81,20.93,44.36,55.65,6.25
NIFTY,11/2/1991,324.61,324.61,324.61,324.61,0,329.5,42.02,328.76,328.34,323.84,325.64,332.15,20.58,42.03,57.98,6.11
NIFTY,13/2/1991,322.24,322.24,322.24,322.24,0,324.61,40.9,326.59,327.23,320.58,321.03,325.65,20.41,40.91,59.1,5.74
NIFTY,14/2/1991,326.76,326.76,326.76,326.76,0,322.24,43.97,326.65,327.14,323.04,321.49,322.65,19.81,43.98,56.03,5.61
NIFTY,15/2/1991,331.06,331.06,331.06,331.06,0,326.76,46.8,328.12,327.85,329.64,326.52,323.84,18.85,46.81,53.2,5.48
NIFTY,19/2/1991,361.63,361.63,361.63,361.63,0,331.06,61.64,339.29,334,353.42,346.48,336.37,19.17,61.64,38.36,7.99
NIFTY,20/2/1991,360.52,360.52,360.52,360.52,0,361.63,60.97,346.37,338.82,370.64,364.51,351.81,19.37,60.98,39.03,7.3
NIFTY,21/2/1991,362.78,362.78,362.78,362.78,0,360.52,61.87,351.84,343.18,370.46,372.51,364.88,19.68,61.88,38.12,6.8
NIFTY,22/2/1991,369.57,369.57,369.57,369.57,0,362.78,64.53,357.75,347.97,371.11,374.81,373.45,20.35,64.53,35.47,6.8
NIFTY,25/2/1991,369.03,369.03,369.03,369.03,0,369.57,64.14,361.51,351.8,372.18,374.73,376.62,20.92,64.15,35.85,6.17
NIFTY,26/2/1991,377.39,377.39,377.39,377.39,0,369.03,67.37,366.8,356.45,376.5,377.56,379.17,21.9,67.37,32.63,6.39
NIFTY,27/2/1991,379.84,379.84,379.84,379.84,0,377.39,68.27,371.15,360.71,381.91,381.28,381.64,22.95,68.27,31.73,6
NIFTY,28/2/1991,379.94,379.94,379.94,379.94,0,379.84,68.3,374.08,364.2,382.88,383.52,383.56,23.93,68.31,31.69,5.41
NIFTY,4/3/1991,381.5,381.5,381.5,381.5,0,379.94,68.94,376.55,367.35,382.58,384.02,384.7,24.92,68.94,31.06,5.02
NIFTY,5/3/1991,385.62,385.62,385.62,385.62,0,381.5,70.6,379.58,370.67,385.15,385.56,386.05,26.09,70.61,29.4,4.93
NIFTY,7/3/1991,361.3,361.3,361.3,361.3,0,385.62,52.64,373.48,368.97,370.99,375.02,379.92,24.6,52.65,47.35,6.87
NIFTY,8/3/1991,371.44,371.44,371.44,371.44,0,361.3,57.5,372.8,369.42,362.85,367.04,373.65,23.91,57.5,42.5,7.2
NIFTY,11/3/1991,367.66,367.66,367.66,367.66,0,371.44,55.23,371.09,369.1,365.63,363.98,367.84,22.95,55.23,44.77,6.86
NIFTY,12/3/1991,365.41,365.41,365.41,365.41,0,367.66,53.86,369.2,368.43,365.25,363.75,364.23,21.87,53.86,46.14,6.4
NIFTY,13/3/1991,364.09,364.09,364.09,364.09,0,365.41,53.03,367.49,367.64,363.51,362.92,362.6,20.74,53.04,46.97,5.89
NIFTY,14/3/1991,375.52,375.52,375.52,375.52,0,364.09,58.92,370.17,369.07,370.56,368.11,365.25,20.53,58.92,41.08,6.44
NIFTY,15/3/1991,375.79,375.79,375.79,375.79,0,375.52,59.05,372.04,370.29,378.06,375.03,370.07,20.36,59.05,40.95,5.82
NIFTY,18/3/1991,367.04,367.04,367.04,367.04,0,375.79,53.15,370.38,369.7,372.88,374.15,372.14,19.35,53.16,46.84,6.12
NIFTY,20/3/1991,367.41,367.41,367.41,367.41,0,367.04,53.37,369.39,369.28,366.27,369.48,371.56,18.45,53.37,46.63,5.54
NIFTY,21/3/1991,364.74,364.74,364.74,364.74,0,367.41,51.55,367.84,368.46,363.68,365.02,368.34,17.36,51.55,48.45,5.26
NIFTY,22/3/1991,366.46,366.46,366.46,366.46,0,364.74,52.67,367.38,368.1,364.31,363.99,365.79,16.5,52.67,47.33,4.9
NIFTY,25/3/1991,361.79,361.79,361.79,361.79,0,366.46,49.34,365.52,366.95,362.94,362.4,363.36,15.41,49.35,50.65,4.88
NIFTY,26/3/1991,365.44,365.44,365.44,365.44,0,361.79,51.9,365.49,366.67,363.15,362.74,362.68,14.58,51.9,48.1,4.76
NIFTY,27/3/1991,366.45,366.45,366.45,366.45,0,365.44,52.61,365.81,366.63,365.97,364.69,363.37,13.92,52.61,47.39,4.38
NIFTY,1/4/1991,372.7,372.7,372.7,372.7,0,366.45,56.87,368.11,367.74,371.38,369.61,366.63,13.9,56.87,43.13,4.57
NIFTY,2/4/1991,377.36,377.36,377.36,377.36,0,372.7,59.77,371.19,369.49,378.04,376.02,371.96,14.31,59.77,40.23,4.58
NIFTY,3/4/1991,376.92,376.92,376.92,376.92,0,377.36,59.36,373.1,370.84,380.17,379.82,376.69,14.62,59.37,40.64,4.16
NIFTY,4/4/1991,375.41,375.41,375.41,375.41,0,376.92,57.91,373.87,371.67,377.76,379.51,379.06,14.71,57.91,42.09,3.9
NIFTY,5/4/1991,380.57,380.57,380.57,380.57,0,375.41,61.39,376.1,373.29,378.99,379.99,380.62,15.28,61.39,38.61,4.02
NIFTY,8/4/1991,387,387,387,387,0,380.57,65.25,379.74,375.78,385.88,384.52,383.49,16.37,65.25,34.75,4.26
NIFTY,9/4/1991,387.57,387.57,387.57,387.57,0,387,65.57,382.35,377.92,390.29,389.09,386.93,17.43,65.58,34.42,3.9
NIFTY,11/4/1991,393.43,393.43,393.43,393.43,0,387.57,68.83,386.04,380.74,393.88,393.66,391.4,18.87,68.83,31.17,4.09
NIFTY,12/4/1991,402.4,402.4,402.4,402.4,0,393.43,73.04,391.49,384.68,401.95,400.72,397.54,20.82,73.04,26.96,4.58
NIFTY,15/4/1991,406.93,406.93,406.93,406.93,0,402.4,74.89,396.64,388.73,409.58,408.28,404.39,22.88,74.89,25.11,4.57
NIFTY,16/4/1991,398.33,398.33,398.33,398.33,0,406.93,65.7,397.2,390.47,405.46,407.66,407.16,23.49,65.7,34.3,4.98
NIFTY,18/4/1991,397.28,397.28,397.28,397.28,0,398.33,64.66,397.23,391.71,397.67,402.04,405.83,23.91,64.66,35.34,4.58
NIFTY,19/4/1991,403.38,403.38,403.38,403.38,0,397.28,67.85,399.28,393.83,399.48,400.47,404.01,24.75,67.85,32.15,4.74
NIFTY,22/4/1991,404.75,404.75,404.75,404.75,0,403.38,68.54,401.1,395.82,404.79,403.06,403.53,25.63,68.54,31.46,4.4
NIFTY,23/4/1991,401.78,401.78,401.78,401.78,0,404.75,65.28,401.33,396.9,404.45,404.07,403.63,25.98,65.28,34.72,4.26
NIFTY,24/4/1991,400.44,400.44,400.44,400.44,0,401.78,63.8,401.03,397.54,401.11,402.37,403.08,26.1,63.8,36.2,3.96
NIFTY,25/4/1991,404.76,404.76,404.76,404.76,0,400.44,66.43,402.27,398.86,402.46,402.69,403.13,26.58,66.43,33.57,4
NIFTY,26/4/1991,401.53,401.53,401.53,401.53,0,404.76,62.76,402.03,399.34,403.1,402.73,402.76,26.51,62.76,37.24,3.92
NIFTY,29/4/1991,396.88,396.88,396.88,396.88,0,401.53,57.8,400.31,398.89,398.51,399.74,401.02,25.73,57.8,42.2,4
NIFTY,30/4/1991,389.01,389.01,389.01,389.01,0,396.88,50.53,396.54,397.1,389.98,392.5,396.25,23.97,50.53,49.47,4.38
NIFTY,3/5/1991,397.15,397.15,397.15,397.15,0,389.01,56.61,396.75,397.11,390.84,390.91,393.28,23.2,56.61,43.39,4.76
NIFTY,6/5/1991,392.35,392.35,392.35,392.35,0,397.15,52.51,395.28,396.24,393.43,391.33,391.29,21.9,52.51,47.49,4.76
NIFTY,7/5/1991,392.26,392.26,392.26,392.26,0,392.35,52.44,394.27,395.52,392.2,391.68,390.77,20.68,52.44,47.56,4.3
NIFTY,8/5/1991,395.04,395.04,395.04,395.04,0,392.26,54.64,394.53,395.43,393.54,392.87,391.7,19.87,54.64,45.36,4.14
NIFTY,9/5/1991,393.33,393.33,393.33,393.33,0,395.04,53.01,394.13,395.05,394.26,393.68,392.46,18.88,53.01,46.99,3.9
NIFTY,10/5/1991,400.4,400.4,400.4,400.4,0,393.33,58.51,396.22,396.02,398.21,397.31,395.24,18.75,58.51,41.49,4.22
NIFTY,13/5/1991,400.38,400.38,400.38,400.38,0,400.4,58.49,397.61,396.81,402.12,400.76,398.38,18.62,58.49,41.51,3.8
NIFTY,14/5/1991,400.56,400.56,400.56,400.56,0,400.38,58.63,398.59,397.5,402.25,402.52,400.98,18.53,58.63,41.37,3.44
NIFTY,16/5/1991,399.49,399.49,399.49,399.49,0,400.56,57.37,398.89,397.86,400.64,401.8,401.95,18.25,57.37,42.63,3.2
NIFTY,17/5/1991,401.58,401.58,401.58,401.58,0,399.49,59.22,399.79,398.53,400.8,401.47,402.24,18.27,59.22,40.78,3.09
NIFTY,20/5/1991,398.68,398.68,398.68,398.68,0,401.58,55.61,399.42,398.56,399.94,400.36,401.39,17.76,55.61,44.39,3.07
NIFTY,21/5/1991,408.66,408.66,408.66,408.66,0,398.68,63.79,402.5,400.4,405,403.99,403.2,18.47,63.79,36.21,3.76
NIFTY,23/5/1991,407.19,407.19,407.19,407.19,0,408.66,61.98,404.06,401.63,409.78,407.96,405.78,18.86,61.98,38.02,3.53
NIFTY,27/5/1991,408.19,408.19,408.19,408.19,0,407.19,62.75,405.44,402.82,409.85,410.14,408.39,19.33,62.75,37.25,3.28
NIFTY,29/5/1991,410.37,410.37,410.37,410.37,0,408.19,64.45,407.08,404.2,410.56,411.19,410.58,20.02,64.45,35.55,3.17
NIFTY,30/5/1991,411.86,411.86,411.86,411.86,0,410.37,65.6,408.67,405.59,412.27,412.43,412.16,20.81,65.6,34.4,3
NIFTY,31/5/1991,403.18,403.18,403.18,403.18,0,411.86,54.5,406.84,405.15,407.13,408.87,410.58,19.97,54.5,45.5,3.57
NIFTY,3/6/1991,400.02,400.02,400.02,400.02,0,403.18,51.1,404.57,404.22,399.42,402.35,406.41,18.7,51.1,48.9,3.53
NIFTY,4/6/1991,399.75,399.75,399.75,399.75,0,400.02,50.81,402.96,403.41,396.9,397.81,401.71,17.48,50.81,49.19,3.2
NIFTY,5/6/1991,398.38,398.38,398.38,398.38,0,399.75,49.28,401.44,402.49,396.99,396.17,397.97,16.34,49.28,50.72,3.02
NIFTY,6/6/1991,394.99,394.99,394.99,394.99,0,398.38,45.61,399.29,401.13,395.14,394.58,395.21,15.8,45.61,54.39,3.06
NIFTY,7/6/1991,386.92,386.92,386.92,386.92,0,394.99,38.3,395.16,398.54,388.24,389.34,391.14,16.34,38.3,61.7,3.56
NIFTY,11/6/1991,390.28,390.28,390.28,390.28,0,386.92,42.44,393.54,397.04,385.95,386.46,388.09,16.25,42.44,57.56,3.54
NIFTY,12/6/1991,396.91,396.91,396.91,396.91,0,390.28,49.61,394.66,397.02,393.04,390.17,388.59,15.15,49.61,50.39,3.85
NIFTY,13/6/1991,393.72,393.72,393.72,393.72,0,396.91,46.6,394.35,396.42,396.48,394,390.66,14.55,46.6,53.4,3.78
NIFTY,14/6/1991,397.78,397.78,397.78,397.78,0,393.72,50.7,395.49,396.67,397.54,397.12,394.14,13.61,50.7,49.3,3.81
NIFTY,17/6/1991,402.59,402.59,402.59,402.59,0,397.78,55.1,397.86,397.74,402.03,401.12,398.36,13.37,55.1,44.9,3.91
NIFTY,18/6/1991,408.77,408.77,408.77,408.77,0,402.59,60.04,401.5,399.75,408.87,407.38,403.81,13.85,60.04,39.96,4.14
NIFTY,19/6/1991,407.49,407.49,407.49,407.49,0,408.77,58.6,403.49,401.16,411.23,410.96,408.33,14.09,58.6,41.4,3.85
NIFTY,20/6/1991,409.32,409.32,409.32,409.32,0,407.49,60.07,405.44,402.64,410.64,411.96,411.36,14.52,60.07,39.93,3.65
NIFTY,21/6/1991,415.83,415.83,415.83,415.83,0,409.32,64.86,408.9,405.04,414.6,414.79,414.37,15.61,64.86,35.14,3.93
NIFTY,24/6/1991,400.83,400.83,400.83,400.83,0,415.83,49.99,406.21,404.27,408.05,410.11,412.27,14.49,49.99,50.01,5.04
NIFTY,25/6/1991,398.76,398.76,398.76,398.76,0,400.83,48.35,403.73,403.27,397.36,401.73,407.11,13.69,48.35,51.65,4.74
NIFTY,26/6/1991,392.35,392.35,392.35,392.35,0,398.76,43.56,399.93,401.29,390.7,392.83,399.29,13.63,43.56,56.44,4.91
NIFTY,27/6/1991,396.25,396.25,396.25,396.25,0,392.35,47,398.71,400.37,391.17,390.43,393.73,13.09,47,53,4.81
NIFTY,28/6/1991,391.96,391.96,391.96,391.96,0,396.25,43.84,396.46,398.84,392.16,390.07,390.37,13.03,43.84,56.16,4.76
NIFTY,1/7/1991,393.6,393.6,393.6,393.6,0,391.96,45.35,395.51,397.89,392.19,390.96,389.67,12.77,45.35,54.65,4.45
NIFTY,2/7/1991,394.9,394.9,394.9,394.9,0,393.6,46.58,395.3,397.34,394.05,392.83,390.76,12.34,46.58,53.42,4.13
NIFTY,3/7/1991,399.85,399.85,399.85,399.85,0,394.9,51.09,396.82,397.8,398.59,396.97,393.86,11.62,51.09,48.91,4.21
NIFTY,4/7/1991,397.07,397.07,397.07,397.07,0,399.85,48.61,396.9,397.67,399.75,399.09,396.62,10.99,48.61,51.39,4.07
NIFTY,5/7/1991,413.35,413.35,413.35,413.35,0,397.07,60.66,402.39,400.52,408.68,406.94,403.05,11.73,60.66,39.34,5.29
NIFTY,8/7/1991,416.27,416.27,416.27,416.27,0,413.35,62.37,407.01,403.38,419.48,416.33,410.87,12.66,62.37,37.63,5.05
NIFTY,9/7/1991,417.63,417.63,417.63,417.63,0,416.27,63.17,410.55,405.97,422.1,422.15,417.89,13.63,63.17,36.83,4.68
NIFTY,10/7/1991,423.57,423.57,423.57,423.57,0,417.63,66.52,414.89,409.17,424.48,425.74,423.86,15.02,66.52,33.48,4.81
NIFTY,11/7/1991,433.48,433.48,433.48,433.48,0,423.57,71.22,421.09,413.59,432.81,432.23,430.14,16.98,71.22,28.78,5.32
NIFTY,12/7/1991,437.67,437.67,437.67,437.67,0,433.48,72.95,426.62,417.97,440.72,439.61,436.63,19.04,72.95,27.05,5.21
NIFTY,15/7/1991,428.76,428.76,428.76,428.76,0,437.67,64.12,427.33,419.93,436.18,438.58,438.81,19.7,64.12,35.88,5.58
NIFTY,16/7/1991,434.4,434.4,434.4,434.4,0,428.76,66.86,429.69,422.56,432.49,435.96,438.96,20.7,66.86,33.14,5.58
NIFTY,17/7/1991,438.4,438.4,438.4,438.4,0,434.4,68.68,432.59,425.44,436.88,436.85,438.82,21.89,68.68,31.32,5.43
NIFTY,19/7/1991,445.74,445.74,445.74,445.74,0,438.4,71.75,436.97,429.13,444.97,442.93,441.49,23.44,71.75,28.25,5.62
NIFTY,22/7/1991,434.66,434.66,434.66,434.66,0,445.74,61.89,436.2,430.14,441.81,442.37,442,23.46,61.89,38.11,6.16
NIFTY,24/7/1991,446.96,446.96,446.96,446.96,0,434.66,67.27,439.79,433.2,442.43,443.85,444.03,24.25,67.27,32.73,6.78
NIFTY,25/7/1991,475.12,475.12,475.12,475.12,0,446.96,75.72,451.57,440.82,466.96,461.01,454.53,26.19,75.72,24.28,8.92
NIFTY,26/7/1991,488.73,488.73,488.73,488.73,0,475.12,78.59,463.95,449.53,493.91,485.59,472.12,28.41,78.59,21.41,9.38
NIFTY,29/7/1991,500.25,500.25,500.25,500.25,0,488.73,80.68,476.05,458.75,508.67,505.92,492.64,30.76,80.68,19.32,9.6
NIFTY,30/7/1991,503.09,503.09,503.09,503.09,0,500.25,81.17,485.07,466.81,512.25,514.98,508.32,33.02,81.17,18.83,8.92
NIFTY,31/7/1991,498.71,498.71,498.71,498.71,0,503.09,77.9,489.61,472.61,506.14,512.75,514.49,34.64,77.9,22.1,8.47
NIFTY,1/8/1991,498.19,498.19,498.19,498.19,0,498.71,77.51,492.47,477.26,499.54,505.88,513.12,36.1,77.51,22.49,7.67
NIFTY,2/8/1991,504.58,504.58,504.58,504.58,0,498.19,78.93,496.51,482.23,501.71,503.55,510.15,37.65,78.93,21.07,7.54
NIFTY,5/8/1991,502.89,502.89,502.89,502.89,0,504.58,77.53,498.64,485.99,504.6,504.01,507.39,38.9,77.53,22.47,6.96
NIFTY,7/8/1991,493.63,493.63,493.63,493.63,0,502.89,70.19,496.97,487.38,497.81,499.67,502.97,39,70.19,29.81,7.19
NIFTY,8/8/1991,487.56,487.56,487.56,487.56,0,493.63,65.79,493.83,487.41,487.36,490.97,496.34,38.47,65.79,34.21,7.08
NIFTY,9/8/1991,495.32,495.32,495.32,495.32,0,487.56,68.51,494.33,488.85,488.6,488.68,492.04,38.37,68.51,31.49,7.15
NIFTY,12/8/1991,496.1,496.1,496.1,496.1,0,495.32,68.77,494.92,490.17,495.22,491.96,491.06,38.31,68.77,31.23,6.51
NIFTY,13/8/1991,502.3,502.3,502.3,502.3,0,496.1,70.9,497.38,492.37,501.63,498.67,494.57,38.56,70.9,29.1,6.48
NIFTY,14/8/1991,507.37,507.37,507.37,507.37,0,502.3,72.54,500.71,495.1,508.27,505.99,500.8,39.02,72.54,27.46,6.34
